Date,Activity Id,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
1/8/2018 18:25,2e4cf2f3-0bec-47fa-8890-86883953620a,Running,,10.64,1:03:43,5:59,10.02,769,182,140,,TomTom MySports Watch,2018-01-08-182542.gpx
1/5/2018 17:45,6344fc66-c0ec-47c5-bfae-c1d2b8d599c1,Running,,11.4,1:06:31,5:50,10.28,804,187,150,,TomTom MySports Watch,2018-01-05-174558.gpx
1/2/2018 17:41,04c2266b-0ff3-4789-9ebb-8e28d483a3bd,Running,,11.51,1:07:45,5:53,10.2,815,190,150,,TomTom MySports Watch,2018-01-02-174134.gpx
12/30/2017 17:11,bbfe7660-45db-4b6f-982f-11ca900db7e5,Running,,11.69,1:10:16,6:01,9.98,841,192,150,,TomTom MySports Watch,2017-12-30-171153.gpx
12/27/2017 18:50,c0706fc2-7192-4c28-b1f4-0553dc423ded,Running,,10.29,45:56:00,5:33,10.83,622,131,147,,TomTom MySports Watch,2017-12-27-185024.gpx
12/4/2017 18:14,45475dee-1fba-4bc5-bdf1-1ca458d0b20a,Running,,10,59:43:00,5:58,10.05,717,160,142,,TomTom MySports Watch,2017-12-04-181441.gpx
11/25/2017 12:17,402c9db6-fae4-43fe-b98b-92d474872f81,Running,,12.85,1:10:04,5:27,11,899,176,157,,TomTom MySports Watch,2017-11-25-121722.gpx
11/22/2017 18:21,bae73a36-cb24-4137-96c2-156e569cd015,Running,,8.55,43:29:00,5:46,10.42,534,129,140,,TomTom MySports Watch,2017-11-22-182112.gpx
11/15/2017 18:06,80ef1296-34ab-4880-af73-f7d9c8814b27,Running,,10.42,1:03:00,6:03,9.93,748,159,139,,TomTom MySports Watch,2017-11-15-180619.gpx
11/9/2017 18:39,3f5756f2-b3dc-4aa7-acc3-e38d7fa8e546,Running,,10.1,53:40:00,5:50,10.29,656,155,155,,TomTom MySports Watch,2017-11-09-183948.gpx
11/5/2017 15:48,b2fcf898-872d-48ea-8d29-29e11191c5cf,Running,,12.78,1:10:36,5:31,10.86,897,172,154,,TomTom MySports Watch,2017-11-05-154801.gpx
10/28/2017 16:07,88c26827-340d-4ef9-ba4e-e3fe1fdf6da4,Running,,12.87,1:11:13,5:32,10.84,895,170,148,,TomTom MySports Watch,2017-10-28-160720.gpx
10/19/2017 18:22,85c4573b-109d-404a-a3ba-a0d62bdb9ffc,Running,,10.85,50:41:00,5:44,10.47,624,144,140,,TomTom MySports Watch,2017-10-19-182210.gpx
10/16/2017 17:09,4d1cf5d9-cfc2-4020-892c-2deee6d125ed,Running,,14.9,1:22:16,5:31,10.86,1045,215,146,,TomTom MySports Watch,2017-10-16-170927.gpx
10/10/2017 18:24,a734675d-6dca-437e-8bbe-0aaec901a5f2,Running,,9.04,43:22:00,5:24,11.13,570,126,146,,TomTom MySports Watch,2017-10-10-182447.gpx
10/7/2017 16:29,8c38fe9f-c35b-416f-b77a-038777036e03,Running,,18.67,1:48:11,5:48,10.36,1327,297,143,,TomTom MySports Watch,2017-10-07-162917.gpx
10/1/2017 17:55,83409eae-5b76-47b8-89f0-db1e04801fc9,Running,,12.76,1:11:15,5:35,10.74,886,174,144,,TomTom MySports Watch,2017-10-01-175538.gpx
9/28/2017 18:20,acb25a0d-251b-4d39-86cd-63d49110d02e,Running,,12.77,1:07:38,5:18,11.33,897,171,143,,TomTom MySports Watch,2017-09-28-182048.gpx
9/25/2017 18:39,685a3715-03e9-42ad-af5f-4d08ae973c14,Running,,12.75,1:06:43,5:14,11.46,896,169,148,,TomTom MySports Watch,2017-09-25-183909.gpx
9/22/2017 12:27,4817879b-dedb-4b3d-a2e8-92d41757ccea,Cycling,,49.18,2:42:32,3:18,18.15,852,367,,,,2017-09-22-122714.gpx
9/19/2017 16:24,01fad411-6664-4cda-826c-044d3ad9e2bf,Running,,17.77,1:39:39,5:36,10.7,1247,257,139,,TomTom MySports Watch,2017-09-19-162408.gpx
9/16/2017 17:26,2fe19360-3ce6-4740-8d45-5fe77b21df75,Running,,18.6,1:43:09,5:33,10.82,1305,313,138,,TomTom MySports Watch,2017-09-16-172625.gpx
9/10/2017 16:57,fac04b5b-6fc2-45fc-bc29-63fa4eb77569,Running,,23.64,2:16:31,5:47,10.39,1682,394,142,,TomTom MySports Watch,2017-09-10-165756.gpx
9/7/2017 18:44,c95ca273-6089-4f22-9292-b22e3c0a89a1,Running,,10.5,44:32:00,5:14,11.45,603,88,141,,TomTom MySports Watch,2017-09-07-184444.gpx
9/5/2017 18:34,5fb52c7a-0331-4382-9636-b9fca42a797f,Running,,12.77,1:06:15,5:11,11.56,896,127,152,,TomTom MySports Watch,2017-09-05-183421.gpx
9/3/2017 17:20,861a0fed-e63d-415e-9193-b5815e65ff9f,Running,,23.8,2:11:00,5:30,10.9,1669,384,151,,TomTom MySports Watch,2017-09-03-172020.gpx
8/31/2017 18:44,51fb7201-2bba-4611-b2af-6530343ebc88,Running,,12.79,1:06:39,5:13,11.51,895,169,142,,TomTom MySports Watch,2017-08-31-184427.gpx
8/29/2017 18:36,e7a75592-c649-4c99-96be-ec52d555beca,Running,,12.7,1:07:42,5:20,11.25,901,127,147,,TomTom MySports Watch,2017-08-29-183614.gpx
8/19/2017 18:01,6e8cc448-7326-4986-b175-4a9341ec5d30,Running,,23.62,2:17:14,5:49,10.33,1667,377,138,,TomTom MySports Watch,2017-08-19-180157.gpx
8/17/2017 18:36,3c980f93-7aa1-477c-9f90-72ca01552031,Cycling,,15.53,40:04:00,2:35,23.25,380,164,138,,TomTom MySports Watch,2017-08-17-183600.gpx
8/16/2017 19:00,3522a99f-e715-4a5b-93fe-a681bdef0ea1,Running,,12.79,1:07:40,5:17,11.34,896,170,148,,TomTom MySports Watch,2017-08-16-190040.gpx
8/14/2017 18:01,e3f350ab-c7fa-42dd-8ccc-22162be34ab7,Running,,12.77,1:08:40,5:23,11.16,893,171,142,,TomTom MySports Watch,2017-08-14-180138.gpx
8/10/2017 18:28,7b11bced-0b12-4e02-9717-09587f4c715f,Running,,10.43,43:48:00,5:12,11.54,596,86,147,,TomTom MySports Watch,2017-08-10-182854.gpx
8/8/2017 18:39,d5f7dd47-f709-437c-ac71-30e87ce7e7ab,Running,,12.56,59:37:00,4:45,12.64,849,121,158,,TomTom MySports Watch,2017-08-08-183914.gpx
8/5/2017 17:14,57990ccc-1fc5-41b0-bc71-8b28ddf0d1b0,Running,,18.6,1:44:22,5:37,10.69,1398,295,142,,,2017-08-05-171400.gpx
8/1/2017 18:39,f116bf61-c409-448a-b80d-35de131c5afd,Running,,10.4,42:50:00,5:06,11.77,589,83,156,,TomTom MySports Watch,2017-08-01-183942.gpx
7/30/2017 17:24,13415fa0-b417-4681-969c-bcc5bc62882b,Running,,18.58,1:45:15,5:40,10.59,1312,307,145,,TomTom MySports Watch,2017-07-30-172423.gpx
7/23/2017 17:14,a93a029b-ba9f-46c3-acb5-1bfbb75257b2,Running,,18.71,1:39:26,5:19,11.29,1308,298,144,,TomTom MySports Watch,2017-07-23-171416.gpx
7/19/2017 18:50,ebe894be-7567-4b56-91ab-164554e20357,Running,,12.8,1:08:04,5:19,11.28,891,170,143,,TomTom MySports Watch,2017-07-19-185031.gpx
7/16/2017 10:34,20b3b267-b9a2-4c64-89a3-3ba0463b582c,Running,,18.54,1:44:22,5:38,10.66,1302,295,142,,TomTom MySports Watch,2017-07-16-103421.gpx
7/10/2017 18:26,8087a508-a36b-4bbd-bca3-cb458f855e9c,Running,,12.6,1:04:42,5:08,11.68,880,124,155,,TomTom MySports Watch,2017-07-10-182602.gpx
7/8/2017 16:26,ad867d0a-2a2b-4358-9a7a-65c2e098e8e6,Running,,23.59,2:13:08,5:39,10.63,1668,390,143,,TomTom MySports Watch,2017-07-08-162643.gpx
7/5/2017 18:53,2301d707-d4e3-461d-b6af-5ffff1b77dbf,Running,,12.78,1:07:52,5:19,11.3,875,173,140,,TomTom MySports Watch,2017-07-05-185340.gpx
7/2/2017 18:34,67d8bff0-657c-46ce-aa3a-4c6533e2f883,Running,,10.25,58:05:00,5:40,10.59,714,130,138,,TomTom MySports Watch,2017-07-02-183453.gpx
7/2/2017 17:15,f6e2f233-cf73-4d68-9938-52231df7c56a,Running,,13.39,1:16:21,5:42,10.52,938,248,136,,TomTom MySports Watch,2017-07-02-171547.gpx
6/28/2017 18:24,242d25a7-3f50-4e56-a351-59cbcf3f25fc,Running,,12.7,1:07:16,5:18,11.33,883,171,147,,TomTom MySports Watch,2017-06-28-182455.gpx
6/25/2017 15:57,7b4de242-4cb7-4962-8ec3-c0cbc71fb9b7,Running,,21.27,2:04:36,5:51,10.24,1518,340,145,,TomTom MySports Watch,2017-06-25-155736.gpx
6/21/2017 18:42,1a03076f-c730-4d45-8415-b0fe189cc672,Running,,12.72,1:09:23,5:27,11,885,175,139,,TomTom MySports Watch,2017-06-21-184229.gpx
6/17/2017 10:13,d4fccef8-c615-43a8-bf27-fa75bb200d13,Running,,14.87,1:25:46,5:46,10.41,1048,247,143,,TomTom MySports Watch,2017-06-17-101345.gpx
6/15/2017 18:54,86cdd8ff-11c5-4c6a-b221-3e65a88cc136,Running,,12.8,1:06:15,5:10,11.59,901,128,147,,TomTom MySports Watch,2017-06-15-185432.gpx
6/12/2017 18:25,ba13aabc-d722-4803-9c1f-4e5043ecced6,Running,,12.67,1:05:58,5:12,11.53,893,128,148,,TomTom MySports Watch,2017-06-12-182558.gpx
6/4/2017 16:01,f607c11e-85ad-492d-9cd3-df2f41d60c24,Running,,21.02,2:02:14,5:49,10.32,1482,330,138,,TomTom MySports Watch,2017-06-04-160152.gpx
6/1/2017 19:00,7937624f-091c-4ba4-933f-15c22bf65c4a,Running,,10.65,45:28:00,5:15,11.41,612,88,143,,TomTom MySports Watch,2017-06-01-190016.gpx
5/30/2017 18:19,58569994-61c8-400c-a647-114e161ff8df,Running,,10.42,42:48:00,5:05,11.8,584,85,154,,TomTom MySports Watch,2017-05-30-181920.gpx
5/28/2017 16:42,524ed1b8-7056-4455-be45-331b472c21f7,Running,,21.11,1:58:50,5:38,10.66,1477,337,143,,TomTom MySports Watch,2017-05-28-164207.gpx
5/24/2017 18:23,719a8602-3d87-471a-b74b-0621ea4c813d,Running,,12.74,1:09:47,5:29,10.95,892,171,140,,TomTom MySports Watch,2017-05-24-182330.gpx
5/21/2017 12:18,88ada870-907d-43d0-9a5a-bc92c8c6b97b,Running,,22.07,2:06:18,5:43,10.48,1569,354,146,,TomTom MySports Watch,2017-05-21-121856.gpx
5/17/2017 18:18,f53266a4-2f39-4c18-ad50-6fd60ab34285,Running,,13.82,1:10:59,5:08,11.68,1000,128,,,,2017-05-17-181834.gpx
5/15/2017 18:25,8eef0492-ce75-4cd5-8de5-f94bb69ef4dc,Running,,16.83,1:24:48,5:02,11.91,1177,167,151,,TomTom MySports Watch,2017-05-15-182555.gpx
5/10/2017 18:40,0edf90b1-2417-413a-96b6-368d01df8677,Running,,10.53,43:24:00,5:05,11.79,595,87,146,,TomTom MySports Watch,2017-05-10-184004.gpx
5/3/2017 18:32,f5dd15c6-ffbd-48e5-aa1c-3777ed5a97c7,Running,,12.43,1:04:04,5:09,11.64,865,125,151,,TomTom MySports Watch,2017-05-03-183201.gpx
5/1/2017 17:38,9a5c1022-08f3-4c9b-9cc5-492d4d7178f9,Cycling,,20.19,54:29:00,2:42,22.24,491,204,135,,TomTom MySports Watch,2017-05-01-173835.gpx
4/29/2017 17:05,0c00d186-32b8-43ff-ad2b-a982a535e270,Running,,21.18,2:02:14,5:46,10.39,1504,343,142,,TomTom MySports Watch,2017-04-29-170547.gpx
4/25/2017 18:44,51eb30dc-bc11-4296-bb7d-d40c83c60319,Running,,10.68,44:46:00,5:09,11.63,606,86,150,,TomTom MySports Watch,2017-04-25-184432.gpx
4/23/2017 11:50,943aff3a-a7a5-49c6-a179-5d5111600f01,Running,Two roads - Irpin,19.27,1:50:24,5:44,10.47,1450,305,149,,TomTom MySports Watch,2017-04-23-115012.gpx
4/17/2017 16:20,51ab838c-9266-436d-b26a-eb6b0d7c0fa5,Running,,15,1:21:03,5:24,11.1,1060,222,147,,TomTom MySports Watch,2017-04-17-162008.gpx
4/13/2017 19:04,48ea0a3a-4a02-4ee9-b310-8a367fd4e59d,Running,,9.58,46:21:00,5:24,11.1,603,88,145,,TomTom MySports Watch,2017-04-13-190416.gpx
4/10/2017 18:46,7263bbb0-934f-47a7-9d9e-f0a0816286be,Running,,12.72,1:07:05,5:16,11.38,908.9999995,122,146,,TomTom MySports Watch,2017-04-10-184656.gpx
4/6/2017 19:07,344ece5a-187e-418e-9287-0e8a11a07643,Running,,9.65,42:24:00,4:54,12.25,594.9999997,87,156,,TomTom MySports Watch,2017-04-06-190746.gpx
4/4/2017 18:31,6b2ca811-ca43-42ed-9b08-8752d2ddac50,Running,,10.61,45:58:00,5:20,11.24,612.9999996,89,143,,TomTom MySports Watch,2017-04-04-183111.gpx
4/1/2017 16:56,410ddb93-7109-4248-9ca6-86da1fdd311b,Running,,13.53,1:14:46,5:32,10.86,955.9999994,196,146,,TomTom MySports Watch,2017-04-01-165653.gpx
3/30/2017 19:06,9a3ec53a-d6f2-4ba7-87e1-085edf2a8064,Running,,10.48,46:53:00,5:32,10.85,606.9999997,90,143,,TomTom MySports Watch,2017-03-30-190629.gpx
3/28/2017 19:13,0b6616e6-be34-4950-b04e-11f0deeca9ab,Running,,9.65,45:24:00,5:15,11.43,611.9999996,88,152,,TomTom MySports Watch,2017-03-28-191323.gpx
3/26/2017 17:10,2c90030a-14cb-46e6-8152-646bccabe3b5,Running,,14.62,1:21:54,5:36,10.71,1062,149,,,,2017-03-26-171040.gpx
3/20/2017 18:44,f7461f26-c148-430d-be37-c1ede0e57ec5,Running,,14.42,1:18:40,5:27,11,1017.999999,99,148,,TomTom MySports Watch,2017-03-20-184413.gpx
3/16/2017 18:21,02eff545-2173-439c-afc3-d446e5802528,Running,,8.8,36:18:00,5:20,11.24,489.9999997,67,151,,TomTom MySports Watch,2017-03-16-182105.gpx
3/13/2017 18:34,a286c0fa-6876-491b-854a-c6d8813b4237,Running,,12.06,1:07:14,5:34,10.77,839.9999995,113,143,,TomTom MySports Watch,2017-03-13-183411.gpx
3/9/2017 18:20,cfdbf8c5-6f66-4de4-af0b-afc5f5a8ab28,Running,,10.52,54:28:00,5:43,10.49,675.9999996,81,139,,TomTom MySports Watch,2017-03-09-182043.gpx
2/27/2017 18:57,853911d0-7a12-456d-8e72-974a8e3782e5,Running,,11.02,59:26:00,5:24,11.12,790.9999995,102,150,,TomTom MySports Watch,2017-02-27-185730.gpx
2/23/2017 18:39,97b7530f-7db6-421e-95a4-6055cf6834df,Running,,9.8,50:57:00,5:47,10.37,617.9999996,85,139,,TomTom MySports Watch,2017-02-23-183915.gpx
2/21/2017 19:16,37a6dd24-87a6-4ec7-8df2-bed0faddf4c8,Running,,7.4,41:20:00,5:35,10.75,521.9999997,82,140,,TomTom MySports Watch,2017-02-21-191607.gpx
2/13/2017 18:42,a95379e3-8981-4309-9c3e-3f4397bf432d,Running,,9.78,56:19:00,5:45,10.42,691.9999996,78,146,,TomTom MySports Watch,2017-02-13-184255.gpx
2/6/2017 18:45,a3b20f84-2a41-4d82-ba64-ba5ae415d5a1,Running,,10.79,58:23:00,5:58,10.07,716.9999996,76,145,,TomTom MySports Watch,2017-02-06-184501.gpx
